 row column   gen seedrate lincol linrow rancol ranrow fixrow1          x site  yield
   4      3    Merrit       60   -0.5  -0.45      3      4       4  1.8305785    2 2.2320
   5      3    Yandee       30   -0.5  -0.35      3      5       1 -1.1694215    2 1.4710
   6      3     Danja       50   -0.5  -0.25      3      6       2  0.8305785    2 1.9883
   7      3    Yandee       50   -0.5  -0.15      3      7       3  0.8305785    2 1.8261
   8      3   Unicrop       20   -0.5  -0.05      3      8       4 -2.1694215    2 0.9933
   9      3    Yorrel       10   -0.5   0.05      3      9       1 -3.1694215    2 0.6140
  10      3 Illyarrie       50   -0.5   0.15      3     10       2  0.8305785    2 1.5573
  11      3   Unicrop       50   -0.5   0.25      3     11       3  0.8305785    2 1.5149
  12      3 Illyarrie       30   -0.5   0.35      3     12       4 -1.1694215    2 1.2705
  13      3     Danja       40   -0.5   0.45      3     13       1 -0.1694215    2 1.6765
  14      3     Danja       30   -0.5   0.55      3     14       2 -1.1694215    2 1.5430
  15      3    Yorrel       50   -0.5   0.65      3     15       3  0.8305785    2 1.6329
  16      3    Merrit       50   -0.5   0.75      3     16       4  0.8305785    2 1.9258
   1      4    Yandee       20    0.5  -0.75      4      1       1 -2.1694215    2 0.7993
   2      4    Warrah       60    0.5  -0.65      4      2       2  1.8305785    2 1.5220
   3      4     Danja       50    0.5  -0.55      4      3       3  0.8305785    2 1.3609
   4      4    Yandee       30    0.5  -0.45      4      4       4 -1.1694215    2 1.1856
   5      4    Yandee       60    0.5  -0.35      4      5       1  1.8305785    2 1.5580
   6      4    Yandee       40    0.5  -0.25      4      6       2 -0.1694215    2 1.4059
   7      4    Yorrel       20    0.5  -0.15      4      7       3 -2.1694215    2 1.0503
   8      4    Merrit       60    0.5  -0.05      4      8       4  1.8305785    2 2.0644
   9      4  Gungurru       50    0.5   0.05      4      9       1  0.8305785    2 1.6709
  10      4    Warrah       20    0.5   0.15      4     10       2 -2.1694215    2 0.5931
  11      4    Yorrel       10    0.5   0.25      4     11       3 -3.1694215    2 0.4960
  12      4     Danja       60    0.5   0.35      4     12       4  1.8305785    2 2.0001
  13      4  Gungurru       20    0.5   0.45      4     13       1 -2.1694215    2 0.7064
  14      4    Yandee       50    0.5   0.55      4     14       2  0.8305785    2 1.5178
  15      4  Gungurru       40    0.5   0.65      4     15       3 -0.1694215    2 1.3704
  16      4     Danja       20    0.5   0.75      4     16       4 -2.1694215    2 0.9105
   1      5  Gungurru       60    1.5  -0.75      5      1       1  1.8305785    2 1.3546
   2      5 Illyarrie       60    1.5  -0.65      5      2       2  1.8305785    2 1.5610
   3      5   Unicrop       20    1.5  -0.55      5      3       3 -2.1694215    2 1.0933
   4      5    Merrit       50    1.5  -0.45      5      4       4  0.8305785    2 2.0345
   5      5    Yorrel       40    1.5  -0.35      5      5       1 -0.1694215    2 1.2988
   6      5    Warrah       30    1.5  -0.25      5      6       2 -1.1694215    2 1.1729
   7      5 Illyarrie       30    1.5  -0.15      5      7       3 -1.1694215    2 1.2925
   8      5    Yorrel       60    1.5  -0.05      5      8       4  1.8305785    2 1.8415
   9      5   Unicrop       10    1.5   0.05      5      9       1 -3.1694215    2 0.5499
  10      5    Merrit       30    1.5   0.15      5     10       2 -1.1694215    2     NA
  11      5    Merrit       20    1.5   0.25      5     11       3 -2.1694215    2     NA
  12      5    Warrah       10    1.5   0.35      5     12       4 -3.1694215    2 0.4571
  13      5     Danja       30    1.5   0.45      5     13       1 -1.1694215    2 1.5886
  14      5   Unicrop       30    1.5   0.55      5     14       2 -1.1694215    2 1.2983
  15      5     Danja       40    1.5   0.65      5     15       3 -0.1694215    2 1.5294
  16      5    Yorrel       30    1.5   0.75      5     16       4 -1.1694215    2 1.3265
   1      6    Merrit       30    2.5  -0.75      6      1       1 -1.1694215    2 0.5886
   2      6    Merrit       40    2.5  -0.65      6      2       2 -0.1694215    2 0.7844
   3      6 Illyarrie       10    2.5  -0.55      6      3       3 -3.1694215    2 0.3030
   4      6   Unicrop       40    2.5  -0.45      6      4       4 -0.1694215    2 0.9834
   5      6    Warrah       50    2.5  -0.35      6      5       1  0.8305785    2 0.8874
   6      6    Yandee       10    2.5  -0.25      6      6       2 -3.1694215    2 0.2466
   7      6 Illyarrie       20    2.5  -0.15      6      7       3 -2.1694215    2 0.7616
   8      6  Gungurru       10    2.5  -0.05      6      8       4 -3.1694215    2 0.6065
   9      6    Warrah       40    2.5   0.05      6      9       1 -0.1694215    2 0.7390
  10      6     Danja       10    2.5   0.15      6     10       2 -3.1694215    2 0.1826
  11      6    Yorrel       50    2.5   0.25      6     11       3  0.8305785    2 0.7765
  12      6    Merrit       10    2.5   0.35      6     12       4 -3.1694215    2 0.3061
  13      6   Unicrop       60    2.5   0.45      6     13       1  1.8305785    2 0.6905
  14      6 Illyarrie       40    2.5   0.55      6     14       2 -0.1694215    2 0.9299
  15      6    Merrit       20    2.5   0.65      6     15       3 -2.1694215    2 0.7401
  16      6  Gungurru       30    2.5   0.75      6     16       4 -1.1694215    2 1.1533
   1      1 Illyarrie       40   -2.5  -0.75      1      1       1 -0.1694215    3 1.3966
   2      1  Gungurru       60   -2.5  -0.65      1      2       2  1.8305785    3 1.4230
   3      1    Merrit       40   -2.5  -0.55      1      3       3 -0.1694215    3 1.2524
   4      1  Gungurru       50   -2.5  -0.45      1      4       4  0.8305785    3 2.0693
   5      1  Gungurru       40   -2.5  -0.35      1      5       1 -0.1694215    3 1.9274
   6      1    Yandee       40   -2.5  -0.25      1      6       2 -0.1694215    3 1.1036
   7      1     Danja       10   -2.5  -0.15      1      7       3 -3.1694215    3 0.6901
   8      1  Gungurru       10   -2.5  -0.05      1      8       4 -3.1694215    3 0.9034
   9      1     Danja       60   -2.5   0.05      1      9       1  1.8305785    3 1.8904
  10      1    Merrit       10   -2.5   0.15      1     10       2 -3.1694215    3 0.9630
  11      1    Yorrel       30   -2.5   0.25      1     11       3 -1.1694215    3 1.2014
  12      1    Warrah       30   -2.5   0.35      1     12       4 -1.1694215    3 1.8746
  13      1  Gungurru       30   -2.5   0.45      1     13       1 -1.1694215    3 2.3764
  14      1    Warrah       10   -2.5   0.55      1     14       2 -3.1694215    3 1.0716
  15      1   Unicrop       30   -2.5   0.65      1     15       3 -1.1694215    3 1.5158
  16      1 Illyarrie       50   -2.5   0.75      1     16       4  0.8305785    3 1.7946
   1      2    Yorrel       20   -1.5  -0.75      2      1       1 -2.1694215    3 1.1936
   2      2 Illyarrie       20   -1.5  -0.65      2      2       2 -2.1694215    3 0.7539
   3      2  Gungurru       20   -1.5  -0.55      2      3       3 -2.1694215    3 1.1679
   4      2    Warrah       50   -1.5  -0.45      2      4       4  0.8305785    3 2.2403
   5      2 Illyarrie       10   -1.5  -0.35      2      5       1 -3.1694215    3 1.0339
   6      2    Yandee       20   -1.5  -0.25      2      6       2 -2.1694215    3 1.3820
   7      2   Unicrop       10   -1.5  -0.15      2      7       3 -3.1694215    3 0.8190
   8      2    Warrah       40   -1.5  -0.05      2      8       4 -0.1694215    3 1.9004
   9      2 Illyarrie       60   -1.5   0.05      2      9       1  1.8305785    3 2.0893
  10      2   Unicrop       40   -1.5   0.15      2     10       2 -0.1694215    3 1.7131
  11      2    Warrah       20   -1.5   0.25      2     11       3 -2.1694215    3 1.4748
  12      2   Unicrop       50   -1.5   0.35      2     12       4  0.8305785    3 2.2031
  13      2     Danja       20   -1.5   0.45      2     13       1 -2.1694215    3 1.7714
  14      2    Yorrel       40   -1.5   0.55      2     14       2 -0.1694215    3 1.5181
  15      2   Unicrop       60   -1.5   0.65      2     15       3  1.8305785    3 1.4571
  16      2    Yandee       60   -1.5   0.75      2     16       4  1.8305785    3 1.6643
   1      3    Yorrel       60   -0.5  -0.75      3      1       1  1.8305785    3 1.7511
   2      3    Yandee       10   -0.5  -0.65      3      2       2 -3.1694215    3 0.4419
   3      3    Warrah       60   -0.5  -0.55      3      3       3  1.8305785    3 1.4558
   4      3    Merrit       60   -0.5  -0.45      3      4       4  1.8305785    3 2.2129
   5      3    Yandee       30   -0.5  -0.35      3      5       1 -1.1694215    3 1.2945
   6      3     Danja       50   -0.5  -0.25      3      6       2  0.8305785    3 1.7078
   7      3    Yandee       50   -0.5  -0.15      3      7       3  0.8305785    3 1.4106
   8      3   Unicrop       20   -0.5  -0.05      3      8       4 -2.1694215    3 1.2385
   9      3    Yorrel       10   -0.5   0.05      3      9       1 -3.1694215    3 0.8379
  10      3    Merrit       30   -0.5   0.15      3     10       2 -1.1694215    3 1.8421
  11      3    Merrit       20   -0.5   0.25      3     11       3 -2.1694215    3 1.5265
  12      3 Illyarrie       30   -0.5   0.35      3     12       4 -1.1694215    3 1.4006
  13      3     Danja       40   -0.5   0.45      3     13       1 -0.1694215    3 2.0675
  14      3     Danja       30   -0.5   0.55      3     14       2 -1.1694215    3 1.4099
  15      3    Yorrel       50   -0.5   0.65      3     15       3  0.8305785    3 1.3001
  16      3    Merrit       50   -0.5   0.75      3     16       4  0.8305785    3 2.2446
   1      4    Yandee       20    0.5  -0.75      4      1       1 -2.1694215    3 0.5844
   2      4    Warrah       60    0.5  -0.65      4      2       2  1.8305785    3 0.9904
   3      4     Danja       50    0.5  -0.55      4      3       3  0.8305785    3 0.7976
   4      4    Yandee       30    0.5  -0.45      4      4       4 -1.1694215    3 0.5765
   5      4    Yandee       60    0.5  -0.35      4      5       1  1.8305785    3 0.6169
   6      4    Yandee       40    0.5  -0.25      4      6       2 -0.1694215    3 0.5104
   7      4    Yorrel       20    0.5  -0.15      4      7       3 -2.1694215    3 0.5924
   8      4    Merrit       60    0.5  -0.05      4      8       4  1.8305785    3 1.9814
   9      4  Gungurru       50    0.5   0.05      4      9       1  0.8305785    3 1.7109
  10      4 Illyarrie       50    0.5   0.15      4     10       2  0.8305785    3 0.6863
  11      4   Unicrop       50    0.5   0.25      4     11       3  0.8305785    3 0.9724
  12      4     Danja       60    0.5   0.35      4     12       4  1.8305785    3 2.0515
  13      4  Gungurru       20    0.5   0.45      4     13       1 -2.1694215    3 0.9740
  14      4    Yandee       50    0.5   0.55      4     14       2  0.8305785    3 0.9673
  15      4  Gungurru       40    0.5   0.65      4     15       3 -0.1694215    3 1.7465
  16      4     Danja       20    0.5   0.75      4     16       4 -2.1694215    3 1.1061
   1      1 Illyarrie       40   -2.5  -0.75      1      1       1 -0.1694215    4 0.9893
   2      1  Gungurru       60   -2.5  -0.65      1      2       2  1.8305785    4 1.4356
   3      1    Merrit       40   -2.5  -0.55      1      3       3 -0.1694215    4 1.2374
   4      1  Gungurru       50   -2.5  -0.45      1      4       4  0.8305785    4 1.4858
   5      1  Gungurru       40   -2.5  -0.35      1      5       1 -0.1694215    4 1.6603
   6      1    Yandee       40   -2.5  -0.25      1      6       2 -0.1694215    4 1.1056
   7      1     Danja       10   -2.5  -0.15      1      7       3 -3.1694215    4 0.9431
   8      1  Gungurru       10   -2.5  -0.05      1      8       4 -3.1694215    4 0.7648
   9      1     Danja       60   -2.5   0.05      1      9       1  1.8305785    4 1.5794
  10      1    Merrit       10   -2.5   0.15      1     10       2 -3.1694215    4 0.7684
  11      1    Yorrel       30   -2.5   0.25      1     11       3 -1.1694215    4 1.6895
  12      1    Warrah       30   -2.5   0.35      1     12       4 -1.1694215    4 0.5651
  13      1  Gungurru       30   -2.5   0.45      1     13       1 -1.1694215    4 1.7250
  14      1    Warrah       10   -2.5   0.55      1     14       2 -3.1694215    4 0.3094
  15      1   Unicrop       30   -2.5   0.65      1     15       3 -1.1694215    4 1.3823
  16      1 Illyarrie       50   -2.5   0.75      1     16       4  0.8305785    4 0.9730
   1      2    Yorrel       20   -1.5  -0.75      2      1       1 -2.1694215    4 1.2829
   2      2 Illyarrie       20   -1.5  -0.65      2      2       2 -2.1694215    4 0.9534
   3      2  Gungurru       20   -1.5  -0.55      2      3       3 -2.1694215    4 1.0821
   4      2    Warrah       50   -1.5  -0.45      2      4       4  0.8305785    4 1.2774
   5      2 Illyarrie       10   -1.5  -0.35      2      5       1 -3.1694215    4 0.7710
   6      2    Yandee       20   -1.5  -0.25      2      6       2 -2.1694215    4 1.1410
   7      2   Unicrop       10   -1.5  -0.15      2      7       3 -3.1694215    4 0.7923
   8      2    Warrah       40   -1.5  -0.05      2      8       4 -0.1694215    4 0.7779
   9      2 Illyarrie       60   -1.5   0.05      2      9       1  1.8305785    4 1.0535
  10      2   Unicrop       40   -1.5   0.15      2     10       2 -0.1694215    4 1.1424
  11      2    Warrah       20   -1.5   0.25      2     11       3 -2.1694215    4 0.4873
  12      2   Unicrop       50   -1.5   0.35      2     12       4  0.8305785    4 1.2848
  13      2     Danja       20   -1.5   0.45      2     13       1 -2.1694215    4 1.2353
  14      2    Yorrel       40   -1.5   0.55      2     14       2 -0.1694215    4 1.4804
  15      2   Unicrop       60   -1.5   0.65      2     15       3  1.8305785    4 0.9773
  16      2    Yandee       60   -1.5   0.75      2     16       4  1.8305785    4 0.9701
   1      3    Yorrel       60   -0.5  -0.75      3      1       1  1.8305785    4 1.9748
   2      3    Yandee       10   -0.5  -0.65      3      2       2 -3.1694215    4 0.8664
   3      3    Warrah       60   -0.5  -0.55      3      3       3  1.8305785    4 0.9888
   4      3    Merrit       60   -0.5  -0.45      3      4       4  1.8305785    4 1.5380
   5      3    Yandee       30   -0.5  -0.35      3      5       1 -1.1694215    4 0.7289
   6      3     Danja       50   -0.5  -0.25      3      6       2  0.8305785    4 1.1819
   7      3    Yandee       50   -0.5  -0.15      3      7       3  0.8305785    4 1.0044
   8      3   Unicrop       20   -0.5  -0.05      3      8       4 -2.1694215    4 1.1139
   9      3    Yorrel       10   -0.5   0.05      3      9       1 -3.1694215    4 1.0404
  10      3    Merrit       30   -0.5   0.15      3     10       2 -1.1694215    4 1.3215
  11      3    Merrit       20   -0.5   0.25      3     11       3 -2.1694215    4 1.0763
  12      3 Illyarrie       30   -0.5   0.35      3     12       4 -1.1694215    4 1.2289
  13      3     Danja       40   -0.5   0.45      3     13       1 -0.1694215    4 1.4335
  14      3     Danja       30   -0.5   0.55      3     14       2 -1.1694215    4 1.0206
  15      3    Yorrel       50   -0.5   0.65      3     15       3  0.8305785    4 1.6130
  16      3    Merrit       50   -0.5   0.75      3     16       4  0.8305785    4 1.2211
   1      4    Yandee       20    0.5  -0.75      4      1       1 -2.1694215    4 0.8731
   2      4    Warrah       60    0.5  -0.65      4      2       2  1.8305785    4 0.9326
   3      4     Danja       50    0.5  -0.55      4      3       3  0.8305785    4 1.4266
   4      4    Yandee       30    0.5  -0.45      4      4       4 -1.1694215    4 0.7526
   5      4    Yandee       60    0.5  -0.35      4      5       1  1.8305785    4 0.9298
   6      4    Yandee       40    0.5  -0.25      4      6       2 -0.1694215    4 0.8756
   7      4    Yorrel       20    0.5  -0.15      4      7       3 -2.1694215    4 1.4299
   8      4    Merrit       60    0.5  -0.05      4      8       4  1.8305785    4 1.5254
   9      4  Gungurru       50    0.5   0.05      4      9       1  0.8305785    4 1.2778
  10      4 Illyarrie       50    0.5   0.15      4     10       2  0.8305785    4 1.1320
  11      4   Unicrop       50    0.5   0.25      4     11       3  0.8305785    4 0.7898
  12      4     Danja       60    0.5   0.35      4     12       4  1.8305785    4 1.5984
  13      4  Gungurru       20    0.5   0.45      4     13       1 -2.1694215    4 0.6823
  14      4    Yandee       50    0.5   0.55      4     14       2  0.8305785    4 0.9511
  15      4  Gungurru       40    0.5   0.65      4     15       3 -0.1694215    4     NA
  16      4     Danja       20    0.5   0.75      4     16       4 -2.1694215    4 0.8353
   1      5  Gungurru       60    1.5  -0.75      5      1       1  1.8305785    4 1.2414
   2      5 Illyarrie       60    1.5  -0.65      5      2       2  1.8305785    4 1.0184
   3      5   Unicrop       20    1.5  -0.55      5      3       3 -2.1694215    4 0.7818
   4      5    Merrit       50    1.5  -0.45      5      4       4  0.8305785    4 1.3503
   5      5    Yorrel       40    1.5  -0.35      5      5       1 -0.1694215    4 1.4834
   6      5    Warrah       30    1.5  -0.25      5      6       2 -1.1694215    4 0.4471
   7      5 Illyarrie       30    1.5  -0.15      5      7       3 -1.1694215    4 0.8669
   8      5    Yorrel       60    1.5  -0.05      5      8       4  1.8305785    4 1.7538
   9      5   Unicrop       10    1.5   0.05      5      9       1 -3.1694215    4 0.5821
  10      5    Warrah       20    1.5   0.15      5     10       2 -2.1694215    4 0.5869
  11      5    Yorrel       10    1.5   0.25      5     11       3 -3.1694215    4 1.1200
  12      5    Warrah       10    1.5   0.35      5     12       4 -3.1694215    4 0.3970
  13      5     Danja       30    1.5   0.45      5     13       1 -1.1694215    4 1.6545
  14      5   Unicrop       30    1.5   0.55      5     14       2 -1.1694215    4 0.8449
  15      5     Danja       40    1.5   0.65      5     15       3 -0.1694215    4 1.4386
  16      5    Yorrel       30    1.5   0.75      5     16       4 -1.1694215    4 1.1618
   1      6    Merrit       30    2.5  -0.75      6      1       1 -1.1694215    4 1.0701
   2      6    Merrit       40    2.5  -0.65      6      2       2 -0.1694215    4 1.4499
