y,trt,time,animal,ctime,x,infect,iron,time3,i3,rtime3
130,1,1,A03,0,-3.15086957,Non.infected,NoIron,0,0,NA
150,1,2,A03,2.8,-2.87086957,Non.infected,NoIron,0,0,NA
170,1,3,A03,4.4,-2.71086957,Non.infected,NoIron,1.1,1,1.1
180,1,4,A03,5.7,-2.58086957,Non.infected,NoIron,2.4,1,2.4
195,1,5,A03,9.7,-2.18086957,Non.infected,NoIron,6.4,1,6.4
205,1,6,A03,12.5,-1.90086957,Non.infected,NoIron,9.2,1,9.2
225,1,7,A03,15.4,-1.61086957,Non.infected,NoIron,12.1,1,12.1
235,1,8,A03,17.4,-1.41086957,Non.infected,NoIron,14.1,1,14.1
250,1,9,A03,20.2,-1.13086957,Non.infected,NoIron,16.9,1,16.9
265,1,10,A03,23.2,-0.83086957,Non.infected,NoIron,19.9,1,19.9
275,1,11,A03,25.8,-0.57086957,Non.infected,NoIron,22.5,1,22.5
295,1,12,A03,32.3,0.07913043,Non.infected,NoIron,29,1,29
305,1,13,A03,35.6,0.40913043,Non.infected,NoIron,32.3,1,32.3
315,1,14,A03,38.6,0.70913043,Non.infected,NoIron,35.3,1,35.3
325,1,15,A03,41.4,0.98913043,Non.infected,NoIron,38.1,1,38.1
325,1,16,A03,44.7,1.31913043,Non.infected,NoIron,41.4,1,41.4
325,1,17,A03,47.7,1.61913043,Non.infected,NoIron,44.4,1,44.4
335,1,18,A03,50.5,1.89913043,Non.infected,NoIron,47.2,1,47.2
340,1,19,A03,53.3,2.17913043,Non.infected,NoIron,50,1,50
355,1,20,A03,54.6,2.30913043,Non.infected,NoIron,51.3,1,51.3
375,1,21,A03,60.1,2.85913043,Non.infected,NoIron,56.8,1,56.8
365,1,22,A03,62.9,3.13913043,Non.infected,NoIron,59.6,1,59.6
400,1,23,A03,65.9,3.43913043,Non.infected,NoIron,62.6,1,62.6
125,1,1,A04,0,-3.15086957,Non.infected,NoIron,0,0,NA
150,1,2,A04,2.8,-2.87086957,Non.infected,NoIron,0,0,NA
170,1,3,A04,4.4,-2.71086957,Non.infected,NoIron,1.1,1,1.1
180,1,4,A04,5.7,-2.58086957,Non.infected,NoIron,2.4,1,2.4
195,1,5,A04,9.7,-2.18086957,Non.infected,NoIron,6.4,1,6.4
210,1,6,A04,12.5,-1.90086957,Non.infected,NoIron,9.2,1,9.2
230,1,7,A04,15.4,-1.61086957,Non.infected,NoIron,12.1,1,12.1
260,1,8,A04,17.4,-1.41086957,Non.infected,NoIron,14.1,1,14.1
255,1,9,A04,20.2,-1.13086957,Non.infected,NoIron,16.9,1,16.9
270,1,10,A04,23.2,-0.83086957,Non.infected,NoIron,19.9,1,19.9
290,1,11,A04,25.8,-0.57086957,Non.infected,NoIron,22.5,1,22.5
NA,1,12,A04,32.3,0.07913043,Non.infected,NoIron,29,1,29
310,1,13,A04,35.6,0.40913043,Non.infected,NoIron,32.3,1,32.3
345,1,14,A04,38.6,0.70913043,Non.infected,NoIron,35.3,1,35.3
350,1,15,A04,41.4,0.98913043,Non.infected,NoIron,38.1,1,38.1
355,1,16,A04,44.7,1.31913043,Non.infected,NoIron,41.4,1,41.4
360,1,17,A04,47.7,1.61913043,Non.infected,NoIron,44.4,1,44.4
375,1,18,A04,50.5,1.89913043,Non.infected,NoIron,47.2,1,47.2
380,1,19,A04,53.3,2.17913043,Non.infected,NoIron,50,1,50
395,1,20,A04,54.6,2.30913043,Non.infected,NoIron,51.3,1,51.3
425,1,21,A04,60.1,2.85913043,Non.infected,NoIron,56.8,1,56.8
415,1,22,A04,62.9,3.13913043,Non.infected,NoIron,59.6,1,59.6
455,1,23,A04,65.9,3.43913043,Non.infected,NoIron,62.6,1,62.6
120,1,1,A05,0,-3.15086957,Non.infected,NoIron,0,0,NA
145,1,2,A05,2.8,-2.87086957,Non.infected,NoIron,0,0,NA
155,2,3,A05,4.4,-2.71086957,Non.infected,Iron,1.1,1,1.1
170,2,4,A05,5.7,-2.58086957,Non.infected,Iron,2.4,1,2.4
165,2,5,A05,9.7,-2.18086957,Non.infected,Iron,6.4,1,6.4
200,2,6,A05,12.5,-1.90086957,Non.infected,Iron,9.2,1,9.2
200,2,7,A05,15.4,-1.61086957,Non.infected,Iron,12.1,1,12.1
215,2,8,A05,17.4,-1.41086957,Non.infected,Iron,14.1,1,14.1
230,2,9,A05,20.2,-1.13086957,Non.infected,Iron,16.9,1,16.9
245,2,10,A05,23.2,-0.83086957,Non.infected,Iron,19.9,1,19.9
260,2,11,A05,25.8,-0.57086957,Non.infected,Iron,22.5,1,22.5
285,2,12,A05,32.3,0.07913043,Non.infected,Iron,29,1,29
290,2,13,A05,35.6,0.40913043,Non.infected,Iron,32.3,1,32.3
310,2,14,A05,38.6,0.70913043,Non.infected,Iron,35.3,1,35.3
325,2,15,A05,41.4,0.98913043,Non.infected,Iron,38.1,1,38.1
320,2,16,A05,44.7,1.31913043,Non.infected,Iron,41.4,1,41.4
325,2,17,A05,47.7,1.61913043,Non.infected,Iron,44.4,1,44.4
325,2,18,A05,50.5,1.89913043,Non.infected,Iron,47.2,1,47.2
340,2,19,A05,53.3,2.17913043,Non.infected,Iron,50,1,50
350,2,20,A05,54.6,2.30913043,Non.infected,Iron,51.3,1,51.3
370,2,21,A05,60.1,2.85913043,Non.infected,Iron,56.8,1,56.8
365,2,22,A05,62.9,3.13913043,Non.infected,Iron,59.6,1,59.6
380,2,23,A05,65.9,3.43913043,Non.infected,Iron,62.6,1,62.6
115,1,1,A06,0,-3.15086957,Non.infected,NoIron,0,0,NA
130,1,2,A06,2.8,-2.87086957,Non.infected,NoIron,0,0,NA
155,2,3,A06,4.4,-2.71086957,Non.infected,Iron,1.1,1,1.1
165,2,4,A06,5.7,-2.58086957,Non.infected,Iron,2.4,1,2.4
185,2,5,A06,9.7,-2.18086957,Non.infected,Iron,6.4,1,6.4
200,2,6,A06,12.5,-1.90086957,Non.infected,Iron,9.2,1,9.2
210,2,7,A06,15.4,-1.61086957,Non.infected,Iron,12.1,1,12.1
210,2,8,A06,17.4,-1.41086957,Non.infected,Iron,14.1,1,14.1
225,2,9,A06,20.2,-1.13086957,Non.infected,Iron,16.9,1,16.9
245,2,10,A06,23.2,-0.83086957,Non.infected,Iron,19.9,1,19.9
260,2,11,A06,25.8,-0.57086957,Non.infected,Iron,22.5,1,22.5
265,2,12,A06,32.3,0.07913043,Non.infected,Iron,29,1,29
295,2,13,A06,35.6,0.40913043,Non.infected,Iron,32.3,1,32.3
305,2,14,A06,38.6,0.70913043,Non.infected,Iron,35.3,1,35.3
310,2,15,A06,41.4,0.98913043,Non.infected,Iron,38.1,1,38.1
305,2,16,A06,44.7,1.31913043,Non.infected,Iron,41.4,1,41.4
310,2,17,A06,47.7,1.61913043,Non.infected,Iron,44.4,1,44.4
315,2,18,A06,50.5,1.89913043,Non.infected,Iron,47.2,1,47.2
320,2,19,A06,53.3,2.17913043,Non.infected,Iron,50,1,50
325,2,20,A06,54.6,2.30913043,Non.infected,Iron,51.3,1,51.3
345,2,21,A06,60.1,2.85913043,Non.infected,Iron,56.8,1,56.8
345,2,22,A06,62.9,3.13913043,Non.infected,Iron,59.6,1,59.6
365,2,23,A06,65.9,3.43913043,Non.infected,Iron,62.6,1,62.6
115,1,1,A07,0,-3.15086957,Non.infected,NoIron,0,0,NA
135,1,2,A07,2.8,-2.87086957,Non.infected,NoIron,0,0,NA
150,2,3,A07,4.4,-2.71086957,Non.infected,Iron,1.1,1,1.1
165,2,4,A07,5.7,-2.58086957,Non.infected,Iron,2.4,1,2.4
175,2,5,A07,9.7,-2.18086957,Non.infected,Iron,6.4,1,6.4
195,2,6,A07,12.5,-1.90086957,Non.infected,Iron,9.2,1,9.2
215,2,7,A07,15.4,-1.61086957,Non.infected,Iron,12.1,1,12.1
225,2,8,A07,17.4,-1.41086957,Non.infected,Iron,14.1,1,14.1
225,2,9,A07,20.2,-1.13086957,Non.infected,Iron,16.9,1,16.9
250,2,10,A07,23.2,-0.83086957,Non.infected,Iron,19.9,1,19.9
255,2,11,A07,25.8,-0.57086957,Non.infected,Iron,22.5,1,22.5
280,2,12,A07,32.3,0.07913043,Non.infected,Iron,29,1,29
295,2,13,A07,35.6,0.40913043,Non.infected,Iron,32.3,1,32.3
300,2,14,A07,38.6,0.70913043,Non.infected,Iron,35.3,1,35.3
325,2,15,A07,41.4,0.98913043,Non.infected,Iron,38.1,1,38.1
320,2,16,A07,44.7,1.31913043,Non.infected,Iron,41.4,1,41.4
320,2,17,A07,47.7,1.61913043,Non.infected,Iron,44.4,1,44.4
335,2,18,A07,50.5,1.89913043,Non.infected,Iron,47.2,1,47.2
340,2,19,A07,53.3,2.17913043,Non.infected,Iron,50,1,50
350,2,20,A07,54.6,2.30913043,Non.infected,Iron,51.3,1,51.3
380,2,21,A07,60.1,2.85913043,Non.infected,Iron,56.8,1,56.8
380,2,22,A07,62.9,3.13913043,Non.infected,Iron,59.6,1,59.6
405,2,23,A07,65.9,3.43913043,Non.infected,Iron,62.6,1,62.6
140,3,1,A08,0,-3.15086957,Infected,NoIron,0,0,NA
165,3,2,A08,2.8,-2.87086957,Infected,NoIron,0,0,NA
170,3,3,A08,4.4,-2.71086957,Infected,NoIron,1.1,1,1.1
180,3,4,A08,5.7,-2.58086957,Infected,NoIron,2.4,1,2.4
200,3,5,A08,9.7,-2.18086957,Infected,NoIron,6.4,1,6.4
210,3,6,A08,12.5,-1.90086957,Infected,NoIron,9.2,1,9.2
235,3,7,A08,15.4,-1.61086957,Infected,NoIron,12.1,1,12.1
250,3,8,A08,17.4,-1.41086957,Infected,NoIron,14.1,1,14.1
260,3,9,A08,20.2,-1.13086957,Infected,NoIron,16.9,1,16.9
265,3,10,A08,23.2,-0.83086957,Infected,NoIron,19.9,1,19.9
280,3,11,A08,25.8,-0.57086957,Infected,NoIron,22.5,1,22.5
300,3,12,A08,32.3,0.07913043,Infected,NoIron,29,1,29
325,3,13,A08,35.6,0.40913043,Infected,NoIron,32.3,1,32.3
338,3,14,A08,38.6,0.70913043,Infected,NoIron,35.3,1,35.3
350,3,15,A08,41.4,0.98913043,Infected,NoIron,38.1,1,38.1
365,3,16,A08,44.7,1.31913043,Infected,NoIron,41.4,1,41.4
380,3,17,A08,47.7,1.61913043,Infected,NoIron,44.4,1,44.4
400,3,18,A08,50.5,1.89913043,Infected,NoIron,47.2,1,47.2
410,3,19,A08,53.3,2.17913043,Infected,NoIron,50,1,50
430,3,20,A08,54.6,2.30913043,Infected,NoIron,51.3,1,51.3
425,3,21,A08,60.1,2.85913043,Infected,NoIron,56.8,1,56.8
410,3,22,A08,62.9,3.13913043,Infected,NoIron,59.6,1,59.6
395,3,23,A08,65.9,3.43913043,Infected,NoIron,62.6,1,62.6
100,3,1,A09,0,-3.15086957,Infected,NoIron,0,0,NA
115,3,2,A09,2.8,-2.87086957,Infected,NoIron,0,0,NA
130,3,3,A09,4.4,-2.71086957,Infected,NoIron,1.1,1,1.1
135,3,4,A09,5.7,-2.58086957,Infected,NoIron,2.4,1,2.4
145,3,5,A09,9.7,-2.18086957,Infected,NoIron,6.4,1,6.4
185,3,6,A09,12.5,-1.90086957,Infected,NoIron,9.2,1,9.2
175,3,7,A09,15.4,-1.61086957,Infected,NoIron,12.1,1,12.1
185,3,8,A09,17.4,-1.41086957,Infected,NoIron,14.1,1,14.1
185,3,9,A09,20.2,-1.13086957,Infected,NoIron,16.9,1,16.9
190,3,10,A09,23.2,-0.83086957,Infected,NoIron,19.9,1,19.9
200,3,11,A09,25.8,-0.57086957,Infected,NoIron,22.5,1,22.5
225,3,12,A09,32.3,0.07913043,Infected,NoIron,29,1,29
245,3,13,A09,35.6,0.40913043,Infected,NoIron,32.3,1,32.3
250,3,14,A09,38.6,0.70913043,Infected,NoIron,35.3,1,35.3
265,3,15,A09,41.4,0.98913043,Infected,NoIron,38.1,1,38.1
265,3,16,A09,44.7,1.31913043,Infected,NoIron,41.4,1,41.4
280,3,17,A09,47.7,1.61913043,Infected,NoIron,44.4,1,44.4
290,3,18,A09,50.5,1.89913043,Infected,NoIron,47.2,1,47.2
305,3,19,A09,53.3,2.17913043,Infected,NoIron,50,1,50
315,3,20,A09,54.6,2.30913043,Infected,NoIron,51.3,1,51.3
330,3,21,A09,60.1,2.85913043,Infected,NoIron,56.8,1,56.8
340,3,22,A09,62.9,3.13913043,Infected,NoIron,59.6,1,59.6
350,3,23,A09,65.9,3.43913043,Infected,NoIron,62.6,1,62.6
110,3,1,A10,0,-3.15086957,Infected,NoIron,0,0,NA
130,3,2,A10,2.8,-2.87086957,Infected,NoIron,0,0,NA
135,3,3,A10,4.4,-2.71086957,Infected,NoIron,1.1,1,1.1
145,3,4,A10,5.7,-2.58086957,Infected,NoIron,2.4,1,2.4
150,3,5,A10,9.7,-2.18086957,Infected,NoIron,6.4,1,6.4
165,3,6,A10,12.5,-1.90086957,Infected,NoIron,9.2,1,9.2
175,3,7,A10,15.4,-1.61086957,Infected,NoIron,12.1,1,12.1
185,3,8,A10,17.4,-1.41086957,Infected,NoIron,14.1,1,14.1
185,3,9,A10,20.2,-1.13086957,Infected,NoIron,16.9,1,16.9
185,3,10,A10,23.2,-0.83086957,Infected,NoIron,19.9,1,19.9
195,3,11,A10,25.8,-0.57086957,Infected,NoIron,22.5,1,22.5
218,3,12,A10,32.3,0.07913043,Infected,NoIron,29,1,29
230,3,13,A10,35.6,0.40913043,Infected,NoIron,32.3,1,32.3
230,3,14,A10,38.6,0.70913043,Infected,NoIron,35.3,1,35.3
245,3,15,A10,41.4,0.98913043,Infected,NoIron,38.1,1,38.1
245,3,16,A10,44.7,1.31913043,Infected,NoIron,41.4,1,41.4
255,3,17,A10,47.7,1.61913043,Infected,NoIron,44.4,1,44.4
270,3,18,A10,50.5,1.89913043,Infected,NoIron,47.2,1,47.2
265,3,19,A10,53.3,2.17913043,Infected,NoIron,50,1,50
280,3,20,A10,54.6,2.30913043,Infected,NoIron,51.3,1,51.3
295,3,21,A10,60.1,2.85913043,Infected,NoIron,56.8,1,56.8
305,3,22,A10,62.9,3.13913043,Infected,NoIron,59.6,1,59.6
300,3,23,A10,65.9,3.43913043,Infected,NoIron,62.6,1,62.6
125,3,1,A11,0,-3.15086957,Infected,NoIron,0,0,NA
150,3,2,A11,2.8,-2.87086957,Infected,NoIron,0,0,NA
160,3,3,A11,4.4,-2.71086957,Infected,NoIron,1.1,1,1.1
175,3,4,A11,5.7,-2.58086957,Infected,NoIron,2.4,1,2.4
190,3,5,A11,9.7,-2.18086957,Infected,NoIron,6.4,1,6.4
205,3,6,A11,12.5,-1.90086957,Infected,NoIron,9.2,1,9.2
220,3,7,A11,15.4,-1.61086957,Infected,NoIron,12.1,1,12.1
235,3,8,A11,17.4,-1.41086957,Infected,NoIron,14.1,1,14.1
235,3,9,A11,20.2,-1.13086957,Infected,NoIron,16.9,1,16.9
245,3,10,A11,23.2,-0.83086957,Infected,NoIron,19.9,1,19.9
255,3,11,A11,25.8,-0.57086957,Infected,NoIron,22.5,1,22.5
273,3,12,A11,32.3,0.07913043,Infected,NoIron,29,1,29
295,3,13,A11,35.6,0.40913043,Infected,NoIron,32.3,1,32.3
300,3,14,A11,38.6,0.70913043,Infected,NoIron,35.3,1,35.3
305,3,15,A11,41.4,0.98913043,Infected,NoIron,38.1,1,38.1
300,3,16,A11,44.7,1.31913043,Infected,NoIron,41.4,1,41.4
300,3,17,A11,47.7,1.61913043,Infected,NoIron,44.4,1,44.4
305,3,18,A11,50.5,1.89913043,Infected,NoIron,47.2,1,47.2
310,3,19,A11,53.3,2.17913043,Infected,NoIron,50,1,50
320,3,20,A11,54.6,2.30913043,Infected,NoIron,51.3,1,51.3
350,3,21,A11,60.1,2.85913043,Infected,NoIron,56.8,1,56.8
365,3,22,A11,62.9,3.13913043,Infected,NoIron,59.6,1,59.6
380,3,23,A11,65.9,3.43913043,Infected,NoIron,62.6,1,62.6
110,3,1,A12,0,-3.15086957,Infected,NoIron,0,0,NA
125,3,2,A12,2.8,-2.87086957,Infected,NoIron,0,0,NA
135,3,3,A12,4.4,-2.71086957,Infected,NoIron,1.1,1,1.1
150,3,4,A12,5.7,-2.58086957,Infected,NoIron,2.4,1,2.4
160,3,5,A12,9.7,-2.18086957,Infected,NoIron,6.4,1,6.4
175,3,6,A12,12.5,-1.90086957,Infected,NoIron,9.2,1,9.2
190,3,7,A12,15.4,-1.61086957,Infected,NoIron,12.1,1,12.1
200,3,8,A12,17.4,-1.41086957,Infected,NoIron,14.1,1,14.1
200,3,9,A12,20.2,-1.13086957,Infected,NoIron,16.9,1,16.9
205,3,10,A12,23.2,-0.83086957,Infected,NoIron,19.9,1,19.9
225,3,11,A12,25.8,-0.57086957,Infected,NoIron,22.5,1,22.5
246,3,12,A12,32.3,0.07913043,Infected,NoIron,29,1,29
260,3,13,A12,35.6,0.40913043,Infected,NoIron,32.3,1,32.3
265,3,14,A12,38.6,0.70913043,Infected,NoIron,35.3,1,35.3
260,3,15,A12,41.4,0.98913043,Infected,NoIron,38.1,1,38.1
280,3,16,A12,44.7,1.31913043,Infected,NoIron,41.4,1,41.4
295,3,17,A12,47.7,1.61913043,Infected,NoIron,44.4,1,44.4
305,3,18,A12,50.5,1.89913043,Infected,NoIron,47.2,1,47.2
305,3,19,A12,53.3,2.17913043,Infected,NoIron,50,1,50
310,3,20,A12,54.6,2.30913043,Infected,NoIron,51.3,1,51.3
325,3,21,A12,60.1,2.85913043,Infected,NoIron,56.8,1,56.8
335,3,22,A12,62.9,3.13913043,Infected,NoIron,59.6,1,59.6
330,3,23,A12,65.9,3.43913043,Infected,NoIron,62.6,1,62.6
125,3,1,A13,0,-3.15086957,Infected,NoIron,0,0,NA
150,3,2,A13,2.8,-2.87086957,Infected,NoIron,0,0,NA
160,3,3,A13,4.4,-2.71086957,Infected,NoIron,1.1,1,1.1
170,3,4,A13,5.7,-2.58086957,Infected,NoIron,2.4,1,2.4
185,3,5,A13,9.7,-2.18086957,Infected,NoIron,6.4,1,6.4
195,3,6,A13,12.5,-1.90086957,Infected,NoIron,9.2,1,9.2
210,3,7,A13,15.4,-1.61086957,Infected,NoIron,12.1,1,12.1
225,3,8,A13,17.4,-1.41086957,Infected,NoIron,14.1,1,14.1
230,3,9,A13,20.2,-1.13086957,Infected,NoIron,16.9,1,16.9
225,3,10,A13,23.2,-0.83086957,Infected,NoIron,19.9,1,19.9
250,3,11,A13,25.8,-0.57086957,Infected,NoIron,22.5,1,22.5
278,3,12,A13,32.3,0.07913043,Infected,NoIron,29,1,29
290,3,13,A13,35.6,0.40913043,Infected,NoIron,32.3,1,32.3
295,3,14,A13,38.6,0.70913043,Infected,NoIron,35.3,1,35.3
305,3,15,A13,41.4,0.98913043,Infected,NoIron,38.1,1,38.1
305,3,16,A13,44.7,1.31913043,Infected,NoIron,41.4,1,41.4
330,3,17,A13,47.7,1.61913043,Infected,NoIron,44.4,1,44.4
350,3,18,A13,50.5,1.89913043,Infected,NoIron,47.2,1,47.2
355,3,19,A13,53.3,2.17913043,Infected,NoIron,50,1,50
370,3,20,A13,54.6,2.30913043,Infected,NoIron,51.3,1,51.3
380,3,21,A13,60.1,2.85913043,Infected,NoIron,56.8,1,56.8
400,3,22,A13,62.9,3.13913043,Infected,NoIron,59.6,1,59.6
410,3,23,A13,65.9,3.43913043,Infected,NoIron,62.6,1,62.6
125,3,1,A14,0,-3.15086957,Infected,NoIron,0,0,NA
140,3,2,A14,2.8,-2.87086957,Infected,NoIron,0,0,NA
150,3,3,A14,4.4,-2.71086957,Infected,NoIron,1.1,1,1.1
160,3,4,A14,5.7,-2.58086957,Infected,NoIron,2.4,1,2.4
160,3,5,A14,9.7,-2.18086957,Infected,NoIron,6.4,1,6.4
185,3,6,A14,12.5,-1.90086957,Infected,NoIron,9.2,1,9.2
195,3,7,A14,15.4,-1.61086957,Infected,NoIron,12.1,1,12.1
200,3,8,A14,17.4,-1.41086957,Infected,NoIron,14.1,1,14.1
205,3,9,A14,20.2,-1.13086957,Infected,NoIron,16.9,1,16.9
200,3,10,A14,23.2,-0.83086957,Infected,NoIron,19.9,1,19.9
220,3,11,A14,25.8,-0.57086957,Infected,NoIron,22.5,1,22.5
242,3,12,A14,32.3,0.07913043,Infected,NoIron,29,1,29
255,3,13,A14,35.6,0.40913043,Infected,NoIron,32.3,1,32.3
265,3,14,A14,38.6,0.70913043,Infected,NoIron,35.3,1,35.3
275,3,15,A14,41.4,0.98913043,Infected,NoIron,38.1,1,38.1
290,3,16,A14,44.7,1.31913043,Infected,NoIron,41.4,1,41.4
300,3,17,A14,47.7,1.61913043,Infected,NoIron,44.4,1,44.4
315,3,18,A14,50.5,1.89913043,Infected,NoIron,47.2,1,47.2
320,3,19,A14,53.3,2.17913043,Infected,NoIron,50,1,50
335,3,20,A14,54.6,2.30913043,Infected,NoIron,51.3,1,51.3
355,3,21,A14,60.1,2.85913043,Infected,NoIron,56.8,1,56.8
375,3,22,A14,62.9,3.13913043,Infected,NoIron,59.6,1,59.6
375,3,23,A14,65.9,3.43913043,Infected,NoIron,62.6,1,62.6
115,3,1,A15,0,-3.15086957,Infected,NoIron,0,0,NA
135,3,2,A15,2.8,-2.87086957,Infected,NoIron,0,0,NA
145,3,3,A15,4.4,-2.71086957,Infected,NoIron,1.1,1,1.1
160,3,4,A15,5.7,-2.58086957,Infected,NoIron,2.4,1,2.4
180,3,5,A15,9.7,-2.18086957,Infected,NoIron,6.4,1,6.4
185,3,6,A15,12.5,-1.90086957,Infected,NoIron,9.2,1,9.2
200,3,7,A15,15.4,-1.61086957,Infected,NoIron,12.1,1,12.1
205,3,8,A15,17.4,-1.41086957,Infected,NoIron,14.1,1,14.1
220,3,9,A15,20.2,-1.13086957,Infected,NoIron,16.9,1,16.9
220,3,10,A15,23.2,-0.83086957,Infected,NoIron,19.9,1,19.9
230,3,11,A15,25.8,-0.57086957,Infected,NoIron,22.5,1,22.5
266,3,12,A15,32.3,0.07913043,Infected,NoIron,29,1,29
275,3,13,A15,35.6,0.40913043,Infected,NoIron,32.3,1,32.3
285,3,14,A15,38.6,0.70913043,Infected,NoIron,35.3,1,35.3
295,3,15,A15,41.4,0.98913043,Infected,NoIron,38.1,1,38.1
305,3,16,A15,44.7,1.31913043,Infected,NoIron,41.4,1,41.4
315,3,17,A15,47.7,1.61913043,Infected,NoIron,44.4,1,44.4
320,3,18,A15,50.5,1.89913043,Infected,NoIron,47.2,1,47.2
335,3,19,A15,53.3,2.17913043,Infected,NoIron,50,1,50
345,3,20,A15,54.6,2.30913043,Infected,NoIron,51.3,1,51.3
360,3,21,A15,60.1,2.85913043,Infected,NoIron,56.8,1,56.8
360,3,22,A15,62.9,3.13913043,Infected,NoIron,59.6,1,59.6
360,3,23,A15,65.9,3.43913043,Infected,NoIron,62.6,1,62.6
110,3,1,A16,0,-3.15086957,Infected,NoIron,0,0,NA
130,3,2,A16,2.8,-2.87086957,Infected,NoIron,0,0,NA
150,3,3,A16,4.4,-2.71086957,Infected,NoIron,1.1,1,1.1
155,3,4,A16,5.7,-2.58086957,Infected,NoIron,2.4,1,2.4
165,3,5,A16,9.7,-2.18086957,Infected,NoIron,6.4,1,6.4
175,3,6,A16,12.5,-1.90086957,Infected,NoIron,9.2,1,9.2
190,3,7,A16,15.4,-1.61086957,Infected,NoIron,12.1,1,12.1
200,3,8,A16,17.4,-1.41086957,Infected,NoIron,14.1,1,14.1
210,3,9,A16,20.2,-1.13086957,Infected,NoIron,16.9,1,16.9
215,3,10,A16,23.2,-0.83086957,Infected,NoIron,19.9,1,19.9
230,3,11,A16,25.8,-0.57086957,Infected,NoIron,22.5,1,22.5
234,3,12,A16,32.3,0.07913043,Infected,NoIron,29,1,29
275,3,13,A16,35.6,0.40913043,Infected,NoIron,32.3,1,32.3
280,3,14,A16,38.6,0.70913043,Infected,NoIron,35.3,1,35.3
300,3,15,A16,41.4,0.98913043,Infected,NoIron,38.1,1,38.1
310,3,16,A16,44.7,1.31913043,Infected,NoIron,41.4,1,41.4
